<USER_REQUEST>
id,question,answer,category,destination,country
1,What should I see in Singapore if I like adventure?,"Choose attractions and experiences in Singapore that match adventure, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Singapore,Singapore
2,Is Bali suitable for a budget trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Bali,Indonesia
3,What if my budget is too low for Visakhapatnam?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Visakhapatnam,India
4,What food should I try in Hyderabad?,"Try well-reviewed local dishes and regional specialties in Hyderabad. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Hyderabad,India
5,Is Shimla suitable for a luxury trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Shimla,India
6,How much should I budget for Chennai for 5 days as a couple traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Chennai, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Chennai,India
7,What is a good family plan for Munnar for 2 days?,"For a 2-day family trip to Munnar, focus on shopping. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Munnar,India
8,How can I make a 8-day itinerary for Bali?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Bali,Indonesia
9,What is the best transport option in Bengaluru?,"Compare taxi options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Bengaluru,India
10,What is the best transport option in Bangkok?,"Compare bus options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Bangkok,Thailand
